#1,5,2,1,2,3,Civil Duty
#2,1,1,1,1,1,Employment
#3,7,4,4,2,1,Housing
#4,7,3,2,2,1,Housing
#5,1,1,1,1,1,Education
#6,6,4,3,4,2,Education
#7,7,5,4,3,4,Housing
#8,5,2,3,2,1,Employment
#9,6,3,1,1,2,Housing
#10,4,3,2,2,2,Housing
#11,6,1,2,4,1,Education
#12,9,4,4,5,2,Education
#13,6,3,2,3,2,Civil Duty
#14,5,1,2,3,1,Employment
#15,5,1,1,1,1,Civil Duty
#16,8,2,3,2,1,Housing
#17,8,4,4,4,4,Employment
#18,7,1,3,3,2,Employment
#19,7,3,3,4,2,Education
#20,7,4,4,3,2,Housing
#21,8,1,1,1,2,Civil Duty
#22,6,3,2,1,1,Housing
#23,7,3,4,5,2,Education
#24,7,2,3,2,1,Employment
#25,10,5,5,5,4,Employment
#26,9,2,2,4,2,Education
#27,7,2,2,2,1,Education
#28,6,4,3,4,3,Housing
#29,5,2,1,3,3,Education
#30,7,1,1,1,3,Civil Duty
#31,10,4,5,5,1,Education
#32,7,3,3,3,3,Employment
#33,9,4,5,3,1,Employment
#34,5,2,2,1,3,Civil Duty
#35,5,1,1,1,1,Civil Duty
#36,10,3,4,3,4,Civil Duty
#37,8,4,2,3,2,Housing
